# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAK1	ENSG00000115977	ENST00000409068	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000409085	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000606389	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000623317	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000304716	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000393427	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000525034	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000525409	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000526164	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000526415	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000527134	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000529666	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000531855	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000532481	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000533193	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	ENSG00000087884	ENST00000630098	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	ENSG00000149313	ENST00000278618	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	ENSG00000149313	ENST00000524411	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	ENSG00000149313	ENST00000525660	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	ENSG00000149313	ENST00000533423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	ENSG00000237215	ENST00000526803	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	ENSG00000274067	ENST00000331259	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000411975	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000453246	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000484268	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000544596	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000611776	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000469908	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000494925	unitary_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000472033	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA4	ENSG00000198691	ENST00000536513	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000587607	non_stop_decay	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000588665	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000589609	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000592568	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000593153	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA8	ENSG00000141338	ENST00000269080	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000430352	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000541225	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000586539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000589533	non_stop_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000590359	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000615593	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000340001	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000453985	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000461623	retained_intron	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA9	ENSG00000154258	ENST00000492580	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA9	ENSG00000154258	ENST00000495634	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000585714	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000458677	antisense	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000627453	antisense	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000627596	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000627957	antisense	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000629311	antisense	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000630575	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB5	ENSG00000004846	ENST00000258738	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	ENSG00000004846	ENST00000404938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	ENSG00000004846	ENST00000441315	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000297504	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000358849	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000466514	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000470645	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000482309	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000482899	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000498578	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000542328	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000376887	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000265586	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000334444	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000437205	nonsense_mediated_decay	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000443497	nonsense_mediated_decay	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000302539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000389817	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000526002	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000527905	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000528202	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000531911	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000532728	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000635881	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000468860	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000484213	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ABCD3	ENSG00000117528	ENST00000493416	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ABCD4	ENSG00000119688	ENST00000356924	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000460308	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000469672	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000470637	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000475240	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000477803	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000481935	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000489207	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000489678	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCD4	ENSG00000119688	ENST00000493427	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000493752	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000553486	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000553745	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000554453	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000555617	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000556119	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000556971	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000557554	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSG00000119688	ENST00000557588	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	ENST00000326195	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	ENST00000376545	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	ENST00000441867	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	ENST00000475993	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	ENST00000479542	retained_intron	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCG1	ENSG00000160179	ENST00000343687	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000347800	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000361802	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398437	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398449	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398457	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
ABCG1	ENSG00000160179	ENST00000450121	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000462050	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
ABHD13	ENSG00000139826	ENST00000375898	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD15-AS1	ENSG00000264031	ENST00000581474	antisense	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	ENSG00000204427	ENST00000395952	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000440843	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000468037	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000477462	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000482224	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000492084	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000495769	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSG00000204427	ENST00000498420	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD17B	ENSG00000107362	ENST00000333421	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABHD17B	ENSG00000107362	ENST00000377041	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABHD17C	ENSG00000136379	ENST00000258884	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000558464	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000559506	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000560126	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000560609	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000352732	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000565973	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000568308	retained_intron	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000346832	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000359188	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376137	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376138	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376139	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376140	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376142	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376160	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376166	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000376170	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000473481	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABI1	ENSG00000136754	ENST00000490841	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
ABI1	ENSG00000136754	ENST00000536334	protein_coding	0	0	0	14	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	1
